date,fragility_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,fold
2019-12-13,0.6464387719633662,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-12-20,0.6000704696234712,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2019-12-27,0.6334609529848282,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-01-03,0.6660905269748464,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-01-10,0.6439647856859052,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-01-17,0.6035745216108495,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-01-24,0.591114741116432,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-01-31,0.6289666686482099,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-02-07,0.6479430690776449,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-02-14,0.6619244653890661,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-02-21,0.6433927145190629,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-02-28,0.3533007984904193,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-03-06,0.18770026383775898,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-03-13,0.17133897967253703,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-03-20,0.13119925983750805,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-03-27,0.1132368596453598,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-04-03,0.06698971747928889,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-04-17,0.11114466898037241,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-04-24,0.08847769318912868,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-05-01,0.08133729871174719,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-05-08,0.0827786167051561,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-05-15,0.11873267901223922,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-05-22,0.18310562278317424,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-05-29,0.19338479566881617,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-06-05,0.19143764741120795,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-06-12,0.22148921659003923,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-06-19,0.22271573894772204,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-06-26,0.2866434940397782,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-07-10,0.445625836511885,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-07-17,0.49140723146811827,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-07-24,0.4916865012704311,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-07-31,0.4733730206651606,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-08-07,0.44364816028527215,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-08-14,0.4233528704921474,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-08-21,0.5315099740227545,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-08-28,0.5692353147240529,DEFENSIVE_LIGHT,0.9,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-09-04,0.4553488255007001,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-09-11,0.3874381339559669,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-09-18,0.3886477853462803,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-09-25,0.319164799499729,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-10-02,0.369769971293672,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-10-09,0.3655040339691961,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-10-16,0.4504855574297319,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-10-23,0.47928746655413906,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-10-30,0.32091391930415436,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-11-06,0.3093673076509654,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-11-13,0.4014638543949135,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-11-20,0.3763874101186704,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-11-27,0.3417901850893481,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-12-04,0.3715227435395663,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-12-11,0.4429039773406448,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2020-12-18,0.4877236686029413,BASELINE,1.0,0.0,,7.7272005176417435,13.071365022894671,0.55,2
2021-01-08,0.4518635093563249,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-01-15,0.49623504847387717,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-01-22,0.4961323847118793,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-01-29,0.4419252395771604,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-02-05,0.4611814225161432,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-02-12,0.502511009135621,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-02-19,0.5321393154202125,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-02-26,0.38401837755483265,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-03-05,0.40837236663150445,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-03-12,0.33683391037827404,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-03-19,0.3149115957470405,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-03-26,0.30241468533130356,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-04-09,0.3100553050084581,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-04-16,0.36113428329264463,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-04-23,0.3775076806610787,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-04-30,0.415868696002099,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-05-07,0.4164406091039674,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-05-14,0.31856402125649175,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-05-21,0.27762007331265226,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-05-28,0.28203235689529166,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-06-04,0.2818399140608484,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-06-11,0.2998606744677128,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-06-18,0.3556169410067276,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-06-25,0.4022469259251628,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-07-02,0.49135664452808686,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-07-09,0.4969565398614674,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-07-16,0.46948453036649584,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-07-23,0.5062540602332902,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-07-30,0.507800798305026,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-08-06,0.5841893051492122,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-08-13,0.6409748631470714,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-08-20,0.5970770951126796,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-08-27,0.5582353137698598,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-09-03,0.5605612657233204,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-09-10,0.5852754115193016,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-09-17,0.5894269122383285,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-09-24,0.5226034126221492,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-10-01,0.5226279287732881,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-10-08,0.38523382060997824,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-10-15,0.42619245794670413,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-10-22,0.35057896730488625,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-10-29,0.37858863094138895,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-11-05,0.5320884029254503,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-11-12,0.5512002831764007,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-11-19,0.6175046872926246,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-11-26,0.536872132625669,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-12-03,0.422977553364016,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-12-10,0.4363743984797892,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-12-17,0.42321460952698947,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2021-12-31,0.41903111829885464,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-01-07,0.3678583390730956,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-01-14,0.1715926878576508,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-01-21,0.20109774949758963,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-01-28,0.24951479850460814,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-02-04,0.19818728261664614,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-02-11,0.1476091428811465,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-02-18,0.09256578496945964,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-02-25,0.02965408997103564,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-03-04,0.035607821941939365,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-03-11,0.04669791399689188,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-03-18,0.08757614164596068,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-03-25,0.016829385879908832,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-04-01,0.09276735815932034,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-04-08,0.10620658752618797,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-04-22,0.04114686437092321,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-04-29,0.03931201810934847,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-05-06,0.07910803615235312,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-05-13,0.03148557929062897,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-05-20,0.03579519770744063,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-05-27,0.035852498712661586,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-06-03,0.0770203142244744,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-06-10,0.07344579721473703,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-06-17,0.028607931178709602,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-06-24,0.035024912416074465,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-07-01,0.07893521297364293,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-07-08,0.07869279290308136,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-07-15,0.08274486673128416,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-07-22,0.09991893254671975,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-07-29,0.10498585705920664,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-08-05,0.13551254344873082,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-08-12,0.12187315742882111,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-08-19,0.1520354331799319,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-08-26,0.13292617179370406,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-09-02,0.04050648867994363,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-09-09,0.09251046673733095,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-09-16,0.07176077049862073,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-09-23,0.07336728216894775,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-09-30,0.18450712121690005,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-10-07,0.19121370606175872,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-10-14,0.14796506503882137,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-10-21,0.15399171280822596,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-10-28,0.1682268167324687,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-11-04,0.18510093738932296,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-11-11,0.21524303118041127,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-11-18,0.18399800356681015,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-11-25,0.17008872020964383,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-12-02,0.1610416564028163,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-12-09,0.1530822605988454,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-12-16,0.20511766169764,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-12-23,0.20321579550666313,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
2022-12-30,0.193649460612101,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,3
