date,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,fold
2019-05-10,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2019-05-17,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2019-05-24,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2019-05-31,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-06-07,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-06-14,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-06-21,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-06-28,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-07-05,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-07-12,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-07-19,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-07-26,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-08-02,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-08-09,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-08-16,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-08-23,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-08-30,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-09-06,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-09-13,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-09-20,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-09-27,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-10-04,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-10-11,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-10-18,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-10-25,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-11-01,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-11-08,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-11-15,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-11-22,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-11-29,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-12-06,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-12-13,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-12-20,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2019-12-27,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2020-01-03,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-01-10,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-01-17,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-01-24,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-01-31,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-02-07,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2020-02-14,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-02-21,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-02-28,REL_TILT,1.0,0.0,0.55,8.888103274745408,13.636257806618895,2
2020-03-06,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2020-03-13,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2020-03-20,BASELINE,1.0,0.0,,8.888103274745408,13.636257806618895,2
2020-03-27,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2020-04-03,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2020-04-17,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2020-04-24,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2020-05-01,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
2020-05-08,DEFENSIVE_LIGHT,0.8,0.0,,8.888103274745408,13.636257806618895,2
