recon_date,members,n_members
2019-07-01,"[""AMZN"", ""AAPL"", ""META"", ""MSFT"", ""AMD"", ""NFLX"", ""GOOGL"", ""NVDA"", ""MU"", ""INTC""]",10
2019-10-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""NFLX"", ""AMD"", ""GOOGL"", ""NVDA"", ""MU"", ""INTC""]",10
2020-01-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""AMD"", ""NFLX"", ""NVDA"", ""GOOGL"", ""MU"", ""INTC""]",10
2020-04-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""NVDA"", ""META"", ""AMD"", ""GOOGL"", ""NFLX"", ""INTC"", ""MU""]",10
2020-07-01,"[""AAPL"", ""AMZN"", ""META"", ""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""NFLX"", ""INTC"", ""MU""]",10
2020-10-01,"[""AAPL"", ""AMZN"", ""NVDA"", ""MSFT"", ""META"", ""AMD"", ""NFLX"", ""CRM"", ""GOOGL"", ""INTC""]",10
2021-01-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""AMD"", ""NVDA"", ""CRM"", ""GOOGL"", ""NFLX"", ""INTC""]",10
2021-04-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""NVDA"", ""AMD"", ""GOOGL"", ""PLTR"", ""NFLX"", ""INTC""]",10
2021-07-01,"[""AMZN"", ""AAPL"", ""NVDA"", ""MSFT"", ""META"", ""AMD"", ""GOOGL"", ""SHOP"", ""NFLX"", ""PLTR""]",10
2021-10-01,"[""AAPL"", ""AMZN"", ""MSFT"", ""NVDA"", ""META"", ""AMD"", ""GOOGL"", ""NFLX"", ""PLTR"", ""SHOP""]",10
2022-01-01,"[""AAPL"", ""NVDA"", ""AMZN"", ""MSFT"", ""AMD"", ""META"", ""GOOGL"", ""ADBE"", ""NFLX"", ""SHOP""]",10
2022-04-01,"[""AAPL"", ""NVDA"", ""AMD"", ""AMZN"", ""MSFT"", ""META"", ""GOOGL"", ""MU"", ""SHOP"", ""NFLX""]",10
2022-07-01,"[""AAPL"", ""AMZN"", ""AMD"", ""NVDA"", ""MSFT"", ""META"", ""GOOGL"", ""NFLX"", ""SHOP"", ""CRM""]",10
2022-10-01,"[""AAPL"", ""NVDA"", ""AMZN"", ""MSFT"", ""AMD"", ""META"", ""GOOGL"", ""NFLX"", ""CRM"", ""ADBE""]",10
2023-01-01,"[""AAPL"", ""NVDA"", ""AMZN"", ""MSFT"", ""AMD"", ""META"", ""NFLX"", ""GOOGL"", ""CRM"", ""ADBE""]",10
2023-04-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMD"", ""AMZN"", ""META"", ""GOOGL"", ""NFLX"", ""CRM"", ""ADBE""]",10
2023-07-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMD"", ""AMZN"", ""META"", ""GOOGL"", ""AVGO"", ""NFLX"", ""ADBE""]",10
2023-10-01,"[""NVDA"", ""AAPL"", ""AMZN"", ""MSFT"", ""META"", ""AMD"", ""GOOGL"", ""AVGO"", ""NFLX"", ""ADBE""]",10
2024-01-01,"[""NVDA"", ""MSFT"", ""AAPL"", ""AMD"", ""AMZN"", ""META"", ""AVGO"", ""GOOGL"", ""ADBE"", ""NFLX""]",10
2024-04-01,"[""NVDA"", ""AMD"", ""AAPL"", ""SMCI"", ""MSFT"", ""META"", ""AMZN"", ""GOOGL"", ""AVGO"", ""ADBE""]",10
2024-07-01,"[""NVDA"", ""AAPL"", ""AMD"", ""MSFT"", ""AMZN"", ""AVGO"", ""SMCI"", ""META"", ""GOOGL"", ""MU""]",10
2024-10-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMZN"", ""META"", ""AMD"", ""AVGO"", ""SMCI"", ""GOOGL"", ""MU""]",10
2025-01-01,"[""NVDA"", ""AAPL"", ""MSFT"", ""AMZN"", ""AVGO"", ""META"", ""PLTR"", ""GOOGL"", ""AMD"", ""SMCI""]",10
2025-04-01,"[""NVDA"", ""AAPL"", ""META"", ""PLTR"", ""MSFT"", ""AMZN"", ""AVGO"", ""GOOGL"", ""SMCI"", ""AMD""]",10
2025-07-01,"[""NVDA"", ""PLTR"", ""AAPL"", ""MSFT"", ""AMZN"", ""META"", ""GOOGL"", ""AVGO"", ""AMD"", ""NFLX""]",10
2025-10-01,"[""NVDA"", ""AAPL"", ""PLTR"", ""MSFT"", ""AMZN"", ""AVGO"", ""GOOGL"", ""META"", ""AMD"", ""NFLX""]",10
2026-01-01,"[""NVDA"", ""AVGO"", ""GOOGL"", ""AAPL"", ""MSFT"", ""META"", ""AMZN"", ""AMD"", ""PLTR"", ""NFLX""]",10
