date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,chop,fold
2022-01-21,0.20109774949758963,0.3023309395885986,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-01-28,0.24951479850460814,0.40525404540172316,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-02-04,0.19818728261664612,0.37319430902125267,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-02-11,0.1476091428811465,0.7767123285909556,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-02-18,0.09256578496945964,0.8517376919757538,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-02-25,0.02965408997103564,0.8723729402099749,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-03-04,0.035607821941939365,0.852454869016151,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-03-11,0.04669791399689188,0.7619374164953518,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-03-18,0.08757614164596068,0.7251408244655309,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-03-25,0.016829385879908832,0.7059552668094088,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-04-01,0.09276735815932034,0.7064026669881269,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-04-08,0.10620658752618796,0.7933652275551714,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-04-22,0.04114686437092321,0.8124207033866051,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-04-29,0.03931201810934847,0.7698504127589779,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-05-06,0.07910803615235311,0.7683406128866952,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-05-13,0.03148557929062897,0.7697567390973001,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-05-20,0.03579519770744063,0.6904565181049707,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-05-27,0.035852498712661586,0.6645367973499665,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-06-03,0.0770203142244744,0.6938196695500228,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-06-10,0.07344579721473703,0.6901186148487894,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-06-17,0.028607931178709602,0.6519867516954564,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-06-24,0.035024912416074465,0.6100210661884258,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
