date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,recover_opp,recover_fire,frag_fire,chop,fold
2021-08-27,0.5582353137698598,0.0023449735449735457,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-09-03,0.5605612657233204,0.0023449735449735457,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-09-10,0.5852754115193014,0.0063213313611451775,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-09-17,0.5894269122383284,0.003976357816171631,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-09-24,0.522603412622149,0.005136809815020644,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-10-01,0.5226279287732881,0.023050373138176105,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-10-08,0.3852338206099783,0.028563267320731823,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-10-15,0.4261924579467042,0.0013689619732785208,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-10-22,0.35057896730488625,0.013060033162498961,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-10-29,0.3785886309413889,0.02614559869268256,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-11-05,0.5320884029254502,0.0026140979689366784,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-11-12,0.5512002831764007,0.002906701708278581,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-11-19,0.6175046872926248,0.0,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-11-26,0.536872132625669,0.01533050970156307,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-12-03,0.422977553364016,0.014684237578207707,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-12-10,0.43637439847978915,0.009235551332605311,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-12-17,0.4232146095269895,0.015184982644162738,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2021-12-31,0.4190311182988546,0.014596478446085352,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-01-07,0.36785833907309556,0.05497177515650202,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-01-14,0.1715926878576508,0.15031021369852635,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-01-21,0.20109774949758963,0.33697974466903763,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-01-28,0.24951479850460814,0.6496366939477994,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-02-04,0.19818728261664612,0.8056656934755502,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-02-11,0.1476091428811465,0.8217150434424203,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-02-18,0.09256578496945964,0.8379395145719042,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-02-25,0.02965408997103564,0.8482627736943623,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-03-04,0.035607821941939365,0.8111949499299065,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-03-11,0.04669791399689188,0.7349218221077458,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-03-18,0.08757614164596068,0.6900780500235505,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-03-25,0.016829385879908832,0.7107073493985147,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-04-01,0.09276735815932034,0.6886076631956924,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-04-08,0.10620658752618796,0.7305375578095483,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-04-22,0.04114686437092321,0.7987942658903613,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-04-29,0.03931201810934847,0.7594016179330688,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-05-06,0.07910803615235311,0.7687944342406264,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-05-13,0.03148557929062897,0.7758822520472415,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-05-20,0.03579519770744063,0.6953212481957741,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-05-27,0.035852498712661586,0.6395727612068233,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-06-03,0.0770203142244744,0.6781954862139289,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-06-10,0.07344579721473703,0.6725971684310967,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-06-17,0.028607931178709602,0.6275581142555433,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-06-24,0.035024912416074465,0.5803104257100441,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-07-01,0.07893521297364293,0.6090739801992643,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-07-08,0.07869279290308136,0.5925496776096175,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-07-15,0.08274486673128416,0.6330906950540832,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-07-22,0.09991893254671975,0.6473369633839384,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-07-29,0.10498585705920663,0.6486067982128277,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-08-05,0.13551254344873084,0.6580727789811645,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-08-12,0.12187315742882111,0.6892645547902251,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
2022-08-19,0.15203543317993196,0.7017479310577214,BASELINE,1.0,0.0,,8.422324942228125,14.800872510040751,0.65,0.55,0,0,0,0,3
