date,corr_rho,corr_scale,corr_state
2016-06-17,0.4030224302501234,1.0,0
2016-06-20,0.40066573349855583,1.0,0
2016-06-21,0.44700569731364787,1.0,0
2016-06-22,0.40768251990624255,1.0,0
2016-06-23,0.43531290513986765,1.0,0
2016-06-24,0.4118443678793151,1.0,0
2016-06-27,0.619871656560006,1.0,0
2016-06-28,0.6526657243853969,1.0,0
2016-06-29,0.6999087393207603,1.0,0
2016-06-30,0.7202886547443809,1.0,0
2016-07-01,0.6998969508878251,1.0,0
2016-07-05,0.6551576235507361,1.0,0
2016-07-06,0.6450910239772969,1.0,0
2016-07-07,0.6329154901802773,1.0,0
2016-07-08,0.6301964477678941,1.0,0
2016-07-11,0.6577778110631044,1.0,0
2016-07-12,0.6561404297370231,1.0,0
2016-07-13,0.6450401621922287,1.0,0
2016-07-14,0.6559756726898545,1.0,0
2016-07-15,0.6500663884196314,1.0,0
2016-07-18,0.6570005356041141,1.0,0
2016-07-19,0.6515763573067779,1.0,0
2016-07-20,0.6332620802750403,1.0,0
2016-07-21,0.622669078207436,1.0,0
2016-07-22,0.5697511333897474,1.0,0
2016-07-25,0.5613218957006956,1.0,0
2016-07-26,0.5368932725351099,1.0,0
2016-07-27,0.3602646076856725,1.0,0
2016-07-28,0.20878369541550337,1.0,0
2016-07-29,0.14637818098224223,1.0,0
2016-08-01,0.10950533626203361,1.0,0
2016-08-02,0.10598256220528456,1.0,0
2016-08-03,0.15502453392445475,1.0,0
2016-08-04,0.14719532676328098,1.0,0
2016-08-05,0.1548703480064574,1.0,0
2016-08-08,0.1785716213312262,1.0,0
2016-08-09,0.1423638537641893,1.0,0
2016-08-10,0.1464148207064574,1.0,0
2016-08-11,0.16152192749800748,1.0,0
2016-08-12,0.1551384688728271,1.0,0
2016-08-15,0.1371601109910914,1.0,0
2016-08-16,0.11799893571730494,1.0,0
2016-08-17,0.12500760935494754,1.0,0
2016-08-18,0.1422803322764786,1.0,0
2016-08-19,0.11997360434724122,1.0,0
2016-08-22,0.14376592166010912,1.0,0
2016-08-23,0.1435588928553884,1.0,0
2016-08-24,0.15434133784830067,1.0,0
2016-08-25,0.20164462832231086,1.0,0
2016-08-26,0.2641605454144953,1.0,0
2016-08-29,0.2822831440393335,1.0,0
2016-08-30,0.3122437704790025,1.0,0
2016-08-31,0.3631063889188741,1.0,0
2016-09-01,0.3148325191719941,1.0,0
2016-09-02,0.336461769498827,1.0,0
2016-09-06,0.3138617748003862,1.0,0
2016-09-07,0.21249414641687672,1.0,0
2016-09-08,0.21338228516147228,1.0,0
2016-09-09,0.2184038294491297,1.0,0
2016-09-12,0.5299887877121964,1.0,0
2016-09-13,0.5841319023561713,1.0,0
2016-09-14,0.5952267731102696,1.0,0
2016-09-15,0.607715489205944,1.0,0
2016-09-16,0.6325826849509198,1.0,0
2016-09-19,0.6224669568169983,1.0,0
2016-09-20,0.6275652386280506,1.0,0
2016-09-21,0.6341488520115273,1.0,0
2016-09-22,0.6011858936251743,1.0,0
2016-09-23,0.5900216976116549,1.0,0
2016-09-26,0.5866274654351955,1.0,0
2016-09-27,0.6091492660258422,1.0,0
2016-09-28,0.6284317546413521,1.0,0
2016-09-29,0.6204981690252986,1.0,0
2016-09-30,0.5566882701869061,1.0,0
2016-10-03,0.5619893611282213,1.0,0
2016-10-04,0.5487537515142022,1.0,0
2016-10-05,0.5519813987258851,1.0,0
2016-10-06,0.5559514005247311,1.0,0
2016-10-07,0.562425260490334,1.0,0
2016-10-10,0.5691577480529595,1.0,0
2016-10-11,0.4288521245213338,1.0,0
2016-10-12,0.42470364385205284,1.0,0
2016-10-13,0.4086680984816477,1.0,0
2016-10-14,0.4225190183606401,1.0,0
2016-10-17,0.3638225161659587,1.0,0
2016-10-18,0.38794700073559923,1.0,0
2016-10-19,0.4118026786377651,1.0,0
2016-10-20,0.35593284975553646,1.0,0
2016-10-21,0.34483312655810283,1.0,0
2016-10-24,0.30347330609807216,1.0,0
2016-10-25,0.3026732240042397,1.0,0
2016-10-26,0.27027933886575994,1.0,0
2016-10-27,0.2388976176628512,1.0,0
2016-10-28,0.255820559592479,1.0,0
2016-10-31,0.2588233254319816,1.0,0
2016-11-01,0.23556901436743458,1.0,0
2016-11-02,0.25985731830186753,1.0,0
2016-11-03,0.27716120636252245,1.0,0
2016-11-04,0.26709243723526555,1.0,0
2016-11-07,0.2678778718337113,1.0,0
2016-11-08,0.38570921367468036,1.0,0
2016-11-09,0.39770507137030164,1.0,0
2016-11-10,0.39122322201500903,1.0,0
2016-11-11,0.4509138234773421,1.0,0
2016-11-14,0.3715128428005311,1.0,0
2016-11-15,0.3893597688337465,1.0,0
2016-11-16,0.4120554490980523,1.0,0
2016-11-17,0.4144552800277596,1.0,0
2016-11-18,0.46956114488885725,1.0,0
2016-11-21,0.4754073766995261,1.0,0
2016-11-22,0.5113304170153168,1.0,0
2016-11-23,0.5099504237724208,1.0,0
2016-11-25,0.5142249656261272,1.0,0
2016-11-28,0.5215425753430744,1.0,0
2016-11-29,0.5362250845363377,1.0,0
2016-11-30,0.5462318809131861,1.0,0
2016-12-01,0.5331638259010901,1.0,0
2016-12-02,0.5351148001054757,1.0,0
2016-12-05,0.5305299619685322,1.0,0
