weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann,fold,score_val,VAL_Sharpe,VAL_CAGR%,VAL_MaxDD%,VAL_SR_tstat,p_value,q_value,significant_5pct,significant_10pct,SR_above_HLZ_tmin,stat_label
0.55,3.0,1.0,0.25,0.35,2,0.1280371620521239,0.9976,16.298,-16.401,1.407,0.15954,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.25,0.25,2,0.1258128769023079,0.9682,15.035,-12.714,1.365,0.17218,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.4,0.25,2,0.125044467156952,1.0029,15.194,-14.714,1.414,0.15734,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.25,0.35,2,0.12429411333002574,0.9744,14.631,-12.682,1.374,0.16944,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.25,0.3,2,0.12201468819950922,0.9752,14.538,-12.682,1.375,0.16908,0.888896,False,False,False,econ_strong_stat_weak
0.65,3.0,1.0,0.25,0.25,2,0.12096962920090946,0.9864,15.758,-15.253,1.391,0.16428,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.0,0.25,0.3,2,0.1187109274248449,0.9847,15.921,-15.807,1.389,0.16497,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.25,0.25,2,0.11751704061378745,0.9743,14.396,-12.682,1.374,0.16949,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.4,0.35,2,0.11540603993394397,0.9721,15.539,-14.783,1.371,0.17044,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.25,0.35,2,0.11277139707861172,0.9471,14.882,-12.714,1.335,0.18171,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.4,0.3,2,0.11148615148173255,0.9713,15.406,-14.783,1.37,0.17081,0.888896,False,False,False,econ_strong_stat_weak
0.55,3.0,1.0,0.25,0.25,2,0.11051632460371144,0.9735,15.569,-15.253,1.373,0.16986,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.25,0.3,2,0.10859836389545907,0.9461,14.749,-12.714,1.334,0.18215,0.888896,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.4,0.25,2,0.10697637501090909,0.9698,15.261,-14.783,1.368,0.17145,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.25,0.25,2,0.10381841329240472,0.9445,14.606,-12.714,1.332,0.18287,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.25,0.35,2,0.10308825849376418,0.9513,14.233,-12.682,1.341,0.17976,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.25,0.3,2,0.10073461078551066,0.952,14.141,-12.682,1.342,0.17947,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.25,0.25,2,0.09615727541965069,0.9508,13.999,-12.682,1.341,0.17999,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.4,0.35,2,0.09417565039645556,0.9489,15.103,-14.783,1.338,0.18086,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.4,0.3,2,0.09018852444123343,0.9479,14.97,-14.783,1.337,0.18133,0.888896,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.4,0.25,2,0.08561363712614438,0.9463,14.826,-14.783,1.334,0.18208,0.888896,False,False,False,econ_strong_stat_weak
