feature,importance,model,fold
rel_minus_mom,0.06720245507422083,recovery,5
base_exposure,0.06168531024282194,recovery,5
vix_level,0.03759543047768625,recovery,5
base_turnover,0.0317868333544043,recovery,5
rel_minus_trend,0.028922168113642503,recovery,5
mom_mean,0.026704338039394346,recovery,5
turb_scale_weekly,0.026467384810592645,recovery,5
trend_mean,0.021552085206928844,recovery,5
recovery_intensity,0.019270639566257835,recovery,5
breadth_63d,0.014505365795137259,recovery,5
rel_top_mean,0.010624243489537617,recovery,5
avg_corr_21,0.01010738714893486,recovery,5
avg_corr_63,0.010012136297374142,recovery,5
rel_mean,0.008753805035015775,recovery,5
xs_disp_5d,0.007703137783911268,recovery,5
qqq_ret_5d,0.007040438033691486,recovery,5
qqq_ret_21d,0.006496626114802841,recovery,5
vix_z_63,0.005801144016786921,recovery,5
crisis_scale_weekly,0.0028662714038014685,recovery,5
crisis_state_weekly,0.0028606148131373466,recovery,5
xs_disp_21d,0.002760548231784485,recovery,5
corr_state_weekly,0.0025479596823820695,recovery,5
corr_scale_weekly,0.002147115391127076,recovery,5
