Date,IC_trend,IC_mom,IC_rel,IC_composite
2007-03-27,0.07407441850186999,0.0,0.02722462722462722,0.0
2007-03-28,0.07329919132274651,0.0,0.039923039923039916,0.0
2007-03-29,0.07800026667608599,0.0,0.034343434343434336,0.0
2007-03-30,0.08183352741505366,0.0,0.039923039923039916,0.0
2007-04-02,0.07657532229106992,0.0,0.04550264550264549,0.0
2007-04-03,0.06840096002787362,0.0,0.049158249158249144,0.0
2007-04-04,0.06969185733696508,0.0,0.045502645502645496,0.0
2007-04-05,0.06543093888373275,0.04415584415584416,0.04742664742664742,0.04684944684944684
2007-04-09,0.060302818752524856,0.041077441077441074,0.04761904761904761,0.044925444925444924
2007-04-10,0.07069961474118941,0.04704184704184704,0.054545454545454536,0.04973544973544973
2007-04-11,0.064277342975728,0.03492063492063492,0.042616642616642615,0.038576238576238576
2007-04-12,0.05889829771964881,0.033189033189033185,0.041269841269841255,0.03722943722943722
2007-04-13,0.0685553356343478,0.042039442039442036,0.05242905242905242,0.04935064935064934
2007-04-16,0.0721126728767592,0.03626743626743627,0.04454064454064453,0.046657046657046654
2007-04-17,0.07021870595839264,0.041077441077441074,0.0476190476190476,0.05300625300625301
2007-04-18,0.06941272996905204,0.039923039923039916,0.04454064454064453,0.05358345358345357
2007-04-19,0.05969643976489026,0.03799903799903799,0.043963443963443954,0.051659451659451655
2007-04-20,0.07363678828474168,0.043771043771043766,0.05204425204425204,0.0605098605098605
2007-04-23,0.06550185720985206,0.03338143338143337,0.04588744588744589,0.05088985088985089
2007-04-24,0.06658021621350246,0.04011544011544011,0.05185185185185184,0.057239057239057235
2007-04-25,0.08138503203650096,0.062049062049062034,0.07263107263107263,0.07705627705627704
2007-04-26,0.0827022974416911,0.06435786435786435,0.07609427609427608,0.08167388167388166
2007-04-27,0.0791509566863574,0.06916786916786916,0.07955747955747955,0.08302068302068301
2007-04-30,0.08048243627734109,0.06647426647426646,0.08417508417508415,0.08148148148148147
2007-05-01,0.07239679418783485,0.058008658008658,0.07455507455507454,0.07782587782587781
2007-05-02,0.0789366517602296,0.06512746512746512,0.07686387686387686,0.08263588263588262
2007-05-03,0.0804824362773411,0.07012987012987011,0.09514189514189512,0.08744588744588742
2007-05-04,0.08547650933262436,0.06916786916786917,0.09013949013949014,0.08667628667628666
2007-05-07,0.08386839404589264,0.0653198653198653,0.08648388648388647,0.08398268398268398
2007-05-08,0.08514807769452358,0.058970658970658965,0.07994227994227994,0.07782587782587781
2007-05-09,0.08018804754301254,0.05473785473785473,0.07359307359307359,0.07455507455507454
2007-05-10,0.07880647884495144,0.06012506012506012,0.07474747474747473,0.0784030784030784
2007-05-11,0.07051706665658487,0.05935545935545935,0.07724867724867725,0.07840307840307839
2007-05-14,0.05670137967597394,0.04184704184704185,0.060317460317460304,0.061279461279461274
2007-05-15,0.05946451707209612,0.04588744588744589,0.058970658970658965,0.06397306397306396
2007-05-16,0.052556673581790656,0.04126984126984126,0.05723905723905723,0.06012506012506012
2007-05-17,0.05393824227985175,0.05396825396825396,0.06666666666666665,0.07224627224627224
2007-05-18,0.05531981097791284,0.06147186147186146,0.06762866762866764,0.07628667628667628
2007-05-21,0.04703039878954628,0.05723905723905723,0.05974025974025973,0.07186147186147186
2007-05-22,0.04703039878954628,0.054737854737854724,0.0658970658970659,0.07647907647907648
2007-05-23,0.05670137967597394,0.060317460317460304,0.07282347282347282,0.08302068302068301
2007-05-24,0.0649907918643405,0.06955266955266953,0.07744107744107744,0.09033189033189032
2007-05-25,0.07604334144882925,0.0782106782106782,0.09302549302549301,0.10283790283790284
2007-05-29,0.08156961624107362,0.0862914862914863,0.09841269841269841,0.10976430976430976
2007-05-30,0.087095891033318,0.08629148629148628,0.09360269360269359,0.10995670995670993
2007-05-31,0.0857143223352569,0.0834054834054834,0.0857142857142857,0.10476190476190475
2007-06-01,0.087095891033318,0.09206349206349206,0.0934102934102934,0.11226551226551226
2007-06-04,0.08295118493913471,0.09283309283309282,0.09264069264069263,0.11341991341991342
2007-06-05,0.08433275363719582,0.08975468975468974,0.09033189033189032,0.11091871091871092
2007-06-06,0.07189863535464597,0.08513708513708514,0.08936988936988936,0.10976430976430976
2007-06-07,0.07189863535464597,0.07955747955747955,0.07782587782587781,0.10052910052910052
2007-06-08,0.07328020405270706,0.07359307359307357,0.06897546897546898,0.09283309283309284
2007-06-11,0.08295118493913471,0.07724867724867725,0.07243867243867244,0.0961038961038961
2007-06-12,0.09676687191974566,0.0855218855218855,0.0784030784030784,0.10187590187590187
2007-06-13,0.10643785280617331,0.09283309283309282,0.08917748917748916,0.10976430976430974
2007-06-14,0.1092009902022955,0.09802789802789802,0.08956228956228957,0.11245791245791247
2007-06-15,0.10661333503918562,0.09745069745069744,0.08590668590668589,0.10937950937950937
2007-06-18,0.101902384304269,0.08609908609908608,0.07609427609427608,0.09648869648869648
2007-06-19,0.09869190876872976,0.08013468013468011,0.07205387205387205,0.09052429052429051
2007-06-20,0.09344875629685204,0.07513227513227512,0.0707070707070707,0.08783068783068783
2007-06-21,0.10196471507388924,0.08609908609908608,0.08225108225108226,0.1012987012987013
2007-06-22,0.09588346205487343,0.07724867724867725,0.07590187590187589,0.09437229437229437
2007-06-25,0.09763877170876945,0.0728234728234728,0.068013468013468,0.08763828763828763
2007-06-26,0.08515934410848547,0.0703222703222703,0.06397306397306397,0.08263588263588263
2007-06-27,0.0862690569001418,0.0732082732082732,0.06358826358826358,0.0834054834054834
2007-06-28,0.09082705822996992,0.0834054834054834,0.07474747474747473,0.09321789321789321
2007-06-29,0.09361848349194012,0.0832130832130832,0.07320827320827321,0.09167869167869167
2007-07-02,0.0866483092320144,0.07205387205387205,0.0582010582010582,0.07955747955747955
2007-07-03,0.0916989580189937,0.07532467532467531,0.06378066378066377,0.0834054834054834
2007-07-05,0.08100312793845375,0.07147667147667146,0.06012506012506013,0.078018278018278
2007-07-06,0.08718626600689973,0.07936507936507935,0.06916786916786917,0.08936988936988936
2007-07-09,0.0855951721720541,0.07417027417027416,0.063011063011063,0.08379028379028379
2007-07-10,0.08219219295161645,0.07301587301587299,0.06185666185666186,0.08379028379028379
2007-07-11,0.08544797780488982,0.08302068302068301,0.06936026936026936,0.09013949013949013
2007-07-12,0.08834704315421438,0.09610389610389608,0.08225108225108223,0.10206830206830206
2007-07-13,0.07483701132189391,0.0809042809042809,0.06859066859066859,0.08763828763828763
2007-07-16,0.06755542687575353,0.07263107263107263,0.06108706108706109,0.07763347763347762
2007-07-17,0.07000715408566104,0.07147667147667147,0.062049062049062055,0.07590187590187589
2007-07-18,0.07726045066595341,0.07744107744107744,0.07147667147667147,0.08148148148148147
2007-07-19,0.08145046607787082,0.08186628186628186,0.07397787397787398,0.08609908609908609
2007-07-20,0.07994423584056924,0.07994227994227994,0.06955266955266955,0.08128908128908127
2007-07-23,0.08603675527354693,0.08109668109668108,0.07128427128427127,0.08398268398268396
2007-07-24,0.07489358705358994,0.07705627705627704,0.06685906685906685,0.08032708032708032
2007-07-25,0.07137170133183601,0.06897546897546897,0.06147186147186147,0.07570947570947571
2007-07-26,0.07909486887946925,0.07744107744107744,0.06955266955266955,0.08148148148148147
2007-07-27,0.08059534407884661,0.07128427128427127,0.06281866281866283,0.07628667628667628
2007-07-30,0.07279282430970703,0.06070226070226069,0.05281385281385281,0.06628186628186626
2007-07-31,0.0760768970288284,0.06705146705146704,0.059547859547859544,0.0707070707070707
2007-08-01,0.07912315674531725,0.06685906685906684,0.06301106301106302,0.073015873015873
2007-08-02,0.07874941578948233,0.05569985569985569,0.0481962481962482,0.06358826358826358
2007-08-03,0.08289412188366561,0.056854256854256845,0.050697450697450706,0.06551226551226551
2007-08-06,0.07598627839336014,0.050889850889850874,0.044733044733044736,0.05974025974025973
2007-08-07,0.07046000360111578,0.04088504088504088,0.035882635882635884,0.0506974506974507
2007-08-08,0.07598627839336014,0.04146224146224145,0.03761423761423762,0.05242905242905242
2007-08-09,0.07460470969529905,0.04050024050024049,0.035882635882635884,0.04992784992784992
2007-08-10,0.09118353407203217,0.044540644540644526,0.03992303992303993,0.05416065416065415
2007-08-13,0.09256510277009328,0.05396825396825396,0.04800384800384801,0.061087061087061086
2007-08-14,0.0870388279778489,0.05069745069745068,0.04607984607984608,0.05627705627705627
2007-08-15,0.09809137756233766,0.05839345839345838,0.05223665223665224,0.06339586339586338
2007-08-16,0.10418389699531536,0.0578162578162578,0.051467051467051474,0.06416546416546416
2007-08-17,0.0979965340844011,0.043386243386243376,0.040885040885040885,0.04954304954304954
2007-08-20,0.10811591044219522,0.056277056277056266,0.054930254930254926,0.062433862433862425
2007-08-21,0.11743240358311717,0.06301106301106299,0.06243386243386244,0.06762866762866762
2007-08-22,0.10710033457801962,0.05108225108225106,0.051082251082251076,0.05531505531505532
2007-08-23,0.09901979594360853,0.048003848003847986,0.04781144781144781,0.052236652236652234
2007-08-24,0.09653106207129457,0.047426647426647414,0.04781144781144781,0.05165945165945165
2007-08-27,0.08538909191960264,0.0326118326118326,0.029725829725829725,0.03684463684463685
2007-08-28,0.08362254109855695,0.0403078403078403,0.039730639730639734,0.04454064454064453
2007-08-29,0.08185599027751124,0.047426647426647414,0.049350649350649346,0.05204425204425204
2007-08-30,0.07108398603902936,0.0326118326118326,0.03607503607503608,0.03722943722943723
2007-08-31,0.07223759207696748,0.031072631072631064,0.036459836459836456,0.03511303511303511
2007-09-04,0.08159425694722267,0.03915343915343914,0.04415584415584416,0.04242424242424243
